#  Lexington, Kentucky January Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189501,28.2
189601,35.1
189701,29.8
189801,38.5
189901,34.5
190001,36.5
190101,35
190201,33
190301,32.8
190401,30.3
190501,25.4
190601,38.4
190701,41.4
190801,34
190901,38.2
191001,33
191101,39.1
191201,24
191301,42.4
191401,38.1
191501,32.8
191601,40.5
191701,35.5
191801,20.2
191901,37.3
192001,30.5
192101,37.7
192201,32.9
192301,39.5
192401,29.9
192501,33.3
192601,32.4
192701,33.9
192801,33
192901,32.3
193001,32.9
193101,36
193201,43.1
193301,42.9
193401,38.8
193501,34.7
193601,27.7
193701,41.7
193801,33.6
193901,38.1
194001,20
194101,34.5
194201,31.6
194301,36.3
194401,37.1
194501,29.6
194601,35.2
194701,38.7
194801,24.4
194901,43.5
195001,44.8
195101,36
195201,39.6
195301,40.8
195401,36.4
195501,33.2
195601,32.5
195701,32.5
195801,31.6
195901,32.2
196001,37
196101,28.9
196201,31
196301,27.7
196401,36.1
196501,33.7
196601,26.8
196701,38.4
196801,30.7
196901,33.1
197001,26.8
197101,30.7
197201,36.5
197301,36.1
197401,41.8
197501,38.3
197601,29.4
197701,18.8
197801,22.6
197901,24.7
198001,33.4
198101,28.5
198201,29.3
198301,34.9
198401,28.7
198501,24.8
198601,34.2
198701,32.9
198801,30.8
198901,41.6
199001,42.6
199101,35
199201,36.2
199301,39
199401,26.7
199501,35.4
199601,32.6
199701,33.5
199801,42.5
199901,38
200001,33.6
200101,32.9
200201,39.6
200301,27.9
200401,32.1
200501,39.3
200601,43.9
200701,38.7
200801,34.1
200901,30.2
201001,30.1
201101,30.3
201201,39.1
201301,37.1
201401,27.8
201501,32
201601,32.8
201701,41.1
201801,31.9
201901,34.8
202001,40.9
202101,36.5
202201,31.4
202301,43
202401,34
